DateTime,values,bus2,bus3,bus4
2020-01-01T00:16:12.0,674.6575,674.6575,674.6575,674.6575
2020-01-01T00:16:18.0,675.765,675.765,675.765,675.765
2020-01-01T00:16:24.0,674.4075,674.4075,674.4075,674.4075
2020-01-01T00:16:30.0,674.1875,674.1875,674.1875,674.1875
2020-01-01T00:16:36.0,675.2025,675.2025,675.2025,675.2025
2020-01-01T00:16:42.0,674.125,674.125,674.125,674.125
2020-01-01T00:16:48.0,673.1875,673.1875,673.1875,673.1875
2020-01-01T00:16:54.0,673.4225,673.4225,673.4225,673.4225
2020-01-01T00:17:00.0,673.6725,673.6725,673.6725,673.6725
2020-01-01T00:17:06.0,673.0625,673.0625,673.0625,673.0625
2020-01-01T00:17:12.0,673.6575,673.6575,673.6575,673.6575
2020-01-01T00:17:18.0,673.735,673.735,673.735,673.735
2020-01-01T00:17:24.0,673.8125,673.8125,673.8125,673.8125
2020-01-01T00:17:30.0,674.515,674.515,674.515,674.515
2020-01-01T00:17:36.0,673.7025,673.7025,673.7025,673.7025
2020-01-01T00:17:42.0,673.1725,673.1725,673.1725,673.1725
2020-01-01T00:17:48.0,673.9075,673.9075,673.9075,673.9075
2020-01-01T00:17:54.0,674.25,674.25,674.25,674.25
2020-01-01T00:18:00.0,673.7825,673.7825,673.7825,673.7825
2020-01-01T00:18:06.0,672.61,672.61,672.61,672.61
2020-01-01T00:18:12.0,673.5,673.5,673.5,673.5
2020-01-01T00:18:18.0,672.9225,672.9225,672.9225,672.9225
2020-01-01T00:18:24.0,674.265,674.265,674.265,674.265
2020-01-01T00:18:30.0,673.47,673.47,673.47,673.47
2020-01-01T00:18:36.0,676.735,676.735,676.735,676.735
2020-01-01T00:18:42.0,676.4375,676.4375,676.4375,676.4375
2020-01-01T00:18:48.0,674.4375,674.4375,674.4375,674.4375
2020-01-01T00:18:54.0,676.14,676.14,676.14,676.14
2020-01-01T00:19:00.0,675.4525,675.4525,675.4525,675.4525
2020-01-01T00:19:06.0,675.875,675.875,675.875,675.875
2020-01-01T00:19:12.0,675.0325,675.0325,675.0325,675.0325
2020-01-01T00:19:18.0,675.0775,675.0775,675.0775,675.0775
2020-01-01T00:19:24.0,673.0475,673.0475,673.0475,673.0475
2020-01-01T00:19:30.0,674.1575,674.1575,674.1575,674.1575
2020-01-01T00:19:36.0,674.985,674.985,674.985,674.985
2020-01-01T00:19:42.0,675.235,675.235,675.235,675.235
2020-01-01T00:19:48.0,674.595,674.595,674.595,674.595
2020-01-01T00:19:54.0,674.97,674.97,674.97,674.97
2020-01-01T00:20:00.0,673.9225,673.9225,673.9225,673.9225
2020-01-01T00:20:06.0,673.0475,673.0475,673.0475,673.0475
2020-01-01T00:20:12.0,672.64,672.64,672.64,672.64
2020-01-01T00:20:18.0,673.6725,673.6725,673.6725,673.6725
2020-01-01T00:20:24.0,672.845,672.845,672.845,672.845
2020-01-01T00:20:30.0,673.0475,673.0475,673.0475,673.0475
2020-01-01T00:20:36.0,674.6575,674.6575,674.6575,674.6575
2020-01-01T00:20:42.0,673.1725,673.1725,673.1725,673.1725
2020-01-01T00:20:48.0,673.72,673.72,673.72,673.72
2020-01-01T00:20:54.0,673.845,673.845,673.845,673.845
2020-01-01T00:21:00.0,672.235,672.235,672.235,672.235
2020-01-01T00:21:06.0,670.845,670.845,670.845,670.845
2020-01-01T00:21:12.0,672.61,672.61,672.61,672.61
2020-01-01T00:21:18.0,673.5475,673.5475,673.5475,673.5475
2020-01-01T00:21:24.0,675.22,675.22,675.22,675.22
2020-01-01T00:21:30.0,673.9375,673.9375,673.9375,673.9375
2020-01-01T00:21:36.0,673.095,673.095,673.095,673.095
2020-01-01T00:21:42.0,671.985,671.985,671.985,671.985
2020-01-01T00:21:48.0,673.0625,673.0625,673.0625,673.0625
2020-01-01T00:21:54.0,672.1875,672.1875,672.1875,672.1875
2020-01-01T00:22:00.0,672.22,672.22,672.22,672.22
2020-01-01T00:22:06.0,672.095,672.095,672.095,672.095
2020-01-01T00:22:12.0,672.6575,672.6575,672.6575,672.6575
2020-01-01T00:22:18.0,672.6875,672.6875,672.6875,672.6875
2020-01-01T00:22:24.0,673.0325,673.0325,673.0325,673.0325
2020-01-01T00:22:30.0,671.735,671.735,671.735,671.735
2020-01-01T00:22:36.0,671.36,671.36,671.36,671.36
2020-01-01T00:22:42.0,670.72,670.72,670.72,670.72
2020-01-01T00:22:48.0,670.0625,670.0625,670.0625,670.0625
2020-01-01T00:22:54.0,668.985,668.985,668.985,668.985
2020-01-01T00:23:00.0,669.7025,669.7025,669.7025,669.7025
2020-01-01T00:23:06.0,669.4225,669.4225,669.4225,669.4225
2020-01-01T00:23:12.0,670.89,670.89,670.89,670.89
2020-01-01T00:23:18.0,670.235,670.235,670.235,670.235
2020-01-01T00:23:24.0,669.1875,669.1875,669.1875,669.1875
2020-01-01T00:23:30.0,670.595,670.595,670.595,670.595
2020-01-01T00:23:36.0,669.47,669.47,669.47,669.47
2020-01-01T00:23:42.0,670.0,670.0,670.0,670.0
2020-01-01T00:23:48.0,669.47,669.47,669.47,669.47
2020-01-01T00:23:54.0,669.14,669.14,669.14,669.14
2020-01-01T00:24:00.0,669.5775,669.5775,669.5775,669.5775
2020-01-01T00:24:06.0,668.595,668.595,668.595,668.595
2020-01-01T00:24:12.0,669.625,669.625,669.625,669.625
2020-01-01T00:24:18.0,669.1725,669.1725,669.1725,669.1725
2020-01-01T00:24:24.0,668.515,668.515,668.515,668.515
2020-01-01T00:24:30.0,668.1575,668.1575,668.1575,668.1575
2020-01-01T00:24:36.0,668.4225,668.4225,668.4225,668.4225
2020-01-01T00:24:42.0,671.36,671.36,671.36,671.36
2020-01-01T00:24:48.0,670.2025,670.2025,670.2025,670.2025
2020-01-01T00:24:54.0,669.64,669.64,669.64,669.64
2020-01-01T00:25:00.0,670.1725,670.1725,670.1725,670.1725
2020-01-01T00:25:06.0,668.9525,668.9525,668.9525,668.9525
2020-01-01T00:25:12.0,670.0,670.0,670.0,670.0
2020-01-01T00:25:18.0,668.9525,668.9525,668.9525,668.9525
2020-01-01T00:25:24.0,670.235,670.235,670.235,670.235
2020-01-01T00:25:30.0,669.97,669.97,669.97,669.97
2020-01-01T00:25:36.0,669.345,669.345,669.345,669.345
2020-01-01T00:25:42.0,667.985,667.985,667.985,667.985
2020-01-01T00:25:48.0,669.015,669.015,669.015,669.015
2020-01-01T00:25:54.0,669.1725,669.1725,669.1725,669.1725
2020-01-01T00:26:00.0,668.1575,668.1575,668.1575,668.1575
2020-01-01T00:26:06.0,668.735,668.735,668.735,668.735
2020-01-01T00:26:12.0,668.25,668.25,668.25,668.25
2020-01-01T00:26:18.0,667.5775,667.5775,667.5775,667.5775
